visit,detector
2025081600268,5
2025092100049,3
2025090600314,2
2025081600597,1
2025081300323,1
2025091900233,3
2025081600231,2
2025091900188,2
2025082700329,4
2025091300634,3
2025090200291,2
2025082600463,1
2025081000487,1
2025091300694,3
2025081200236,1
2025082700345,5
2025090600251,4
2025080900302,1
2025090600340,2
2025081200248,1
2025091300667,3
2025092000097,4
2025082600541,5
2025081300432,2
2025091500058,3
2025091900234,3
2025081600501,3
2025090400100,1
2025080900269,5
2025080600395,2
2025081300441,4
2025090400283,2
2025090600472,3
2025090600432,3
2025092000074,1
2025082600538,3
2025082700341,1
2025081600262,3
2025090200275,2
2025090600321,2
2025091300606,2
2025082600530,5
2025081400266,2
2025082600541,4
2025081000514,2
2025090600384,1
2025081600300,3
2025082600421,3
2025090600475,4
2025090200302,4
2025081600475,1
2025090400099,3
2025081600240,2
2025090500195,1
2025090400283,3
2025082600472,1
2025090600218,4
2025091300691,4
2025082600565,5
2025081600230,2
2025081000332,5
2025091500094,2
2025081200280,5
2025081300336,2
2025081000280,3
2025081300406,2
2025081000349,3
2025081600566,2
2025091800226,1
2025081600464,1
2025090400095,2
2025092100132,4
2025081000394,5
2025082600429,5
2025082600530,3
2025081600579,4
2025090500223,2
2025092100070,2
2025082600490,3
2025082600588,5
2025092100120,4
2025081600308,3
2025092100083,1
2025091900238,1
2025091900178,4
2025080900333,3
2025081400258,5
2025091500074,3
2025081000432,2
2025081000518,3
2025081600473,3
2025081000346,5
2025081600236,5
2025092000076,4
2025081400327,4
2025082700358,1
2025081400274,2
2025081600254,1
2025081600520,3
2025090500259,3
2025081000411,1
2025090600247,1
2025081300401,2
2025091300669,2
2025082700306,5
2025081400247,3
2025090500190,4
2025090600439,4
2025081200242,2
2025090600265,1
2025081000515,5
2025090200393,3
2025081200270,5
2025090600259,2
2025081000346,2
2025081000400,3
2025091500095,1
2025081000408,5
2025081600502,4
2025090600295,4
2025082600631,4
2025081000457,1
2025090200292,1
2025081600258,3
2025082600554,2
2025081300453,2
2025081000270,4
2025081000328,5
2025091900190,3
2025082600557,2
2025080600393,2
2025082600634,2
2025092100129,3
2025081400256,5
2025092000060,4
2025082600609,4
2025081000292,5
2025081600619,1
2025090200192,3
2025081000476,3
2025090200300,1
2025090600289,1
2025091300633,1
2025081600593,1
2025081000512,4
2025081000391,3
2025082700327,2
2025081600332,2
2025081600424,5
2025091300602,3
2025081600559,1
2025091500098,1
2025081200280,1
2025081600269,1
2025082600428,3
2025092000088,4
2025081400312,5
2025081600237,4
2025091800201,4
2025090600352,4
2025090600351,2
2025091800206,4
2025081600341,1
2025090600325,3
2025081000307,2
2025082600502,4
2025081000455,3
2025090200259,5
2025081600268,2
2025090600401,1
2025091500078,3
2025081200235,3
2025081000423,1
2025081200276,3
2025090600445,4
2025081300368,4
2025091800217,1
2025081600284,2
2025090600293,4
2025090500261,3
2025091300649,2
2025081400346,1
2025081000278,1
2025090200192,1
2025090200282,2
2025090200314,1
2025080600403,1
2025091500090,2
2025092100099,3
2025090400278,3
2025091300673,1
2025082600612,3
2025090500217,3
2025090600230,1
2025081600338,3
2025081300451,2
2025081600380,4
2025090400281,4
2025090500191,4
2025081000439,1
2025081400265,1
2025080900291,2
2025081300359,4
2025092000145,1
2025082600564,1
2025092000152,4
2025081400350,3
2025090600502,3
2025080900301,1
2025081300427,3
2025080900320,2
2025082800166,3
2025090600518,1
2025081600257,4
2025081300458,2
2025081300318,3
2025082600591,1
2025082700298,4
2025081600224,5
2025081600354,1
2025080900308,5
2025081600431,1
2025090200236,3
2025082800193,5
2025081300334,4
2025081000447,5
2025082700293,2
2025090600404,2
2025081600459,4
2025080600373,4
2025091500070,4
2025091300705,1
2025091300708,4
2025090600488,3
2025081000310,1
2025081600569,3
2025081600504,5
2025081600602,3
2025081300371,2
2025082700339,5
2025082600533,3
2025090200290,3
2025090600458,1
2025081600526,4
2025081300362,3
2025081400252,3
2025090200214,4
2025081000461,4
2025090600395,3
2025092100145,1
2025080600344,1
2025080900254,4
2025081600520,5
2025090500222,1
2025081000259,4
2025090400088,4
2025090600328,4
2025081400258,4
2025091900217,1
2025091300713,4
2025091300637,1
2025081600388,2
2025081600325,2
2025090500186,3
2025081600260,2
2025081000396,2
2025081000396,5
2025081200257,5
2025092000144,3
2025082600523,4
2025082600529,2
2025080600410,5
2025082600447,3
2025082800179,3
2025081300340,3
2025081600546,2
2025081300398,2
2025080900320,1
2025091900256,4
2025081000415,4
2025091900173,3
2025081600583,2
2025081000410,5
2025081600300,4
2025090600334,1
2025092100032,2
2025081000406,5
2025081000280,4
2025081000299,5
2025081600541,5
2025081300451,4
2025081600539,2
2025081300332,2
2025081400248,3
2025081600464,5
2025081000407,2
2025090400107,4
2025081600404,4
2025091900209,2
2025082700338,4
2025090600302,2
2025081300318,5
2025081600599,1
2025081600474,2
2025081000266,2
2025082600529,1
2025092100063,2
2025081300355,1
2025082600448,1
2025082600520,5
2025082700307,1
2025081600565,1
2025082700354,3
2025080900325,3
2025081000259,1
2025081400348,5
2025081600454,3
2025091300633,3
2025090200193,2
2025081000376,3
2025080600418,3
2025080600352,2
2025090600227,3
2025090600312,2
2025081600373,1
2025080600389,2
2025081600406,4
2025081600519,4
2025091300687,3
2025081600255,1
2025080900331,4
2025080600372,1
2025080900307,1
2025081600527,3
2025080600349,4
2025081600459,1
2025091800201,2
2025090600503,4
2025090600270,1
2025081300361,4
2025091300667,4
2025090600322,2
2025081400245,1
2025081600375,1
2025081000332,4
2025090600224,1
2025081000260,3
2025081000512,1
2025090400284,2
2025082600633,3
2025090200199,4
2025081400297,3
2025081600556,2
2025081600511,1
2025092100131,2
2025090500196,2
2025081000396,3
2025081600595,5
2025082700321,4
2025081000280,1
2025090600332,3
