feat,imp,med_pos,med_neg,med_real,real_like_neg,score
loc_dipole,0.005350455524616783,0.21005308628082275,0.10132467746734619,0.3062695264816284,-0.8849245680203491,0.0
loc_npos,0.0035290418166312953,120.0,108.0,114.5,0.4583333333333333,0.0016174774992893436
loc_nneg,0.0035126269770672297,96.0,98.0,101.0,2.5,0.007025253954134459
pcount,0.0036475760108811987,726.0,728.0,7.5,-359.25,0.0
p_med_mf_snr,0.004556140200514681,1.0711908340454102,1.0748828649520874,1.7501391768455505,183.89562816828646,0.009112280401029361
mf_snr_norm,0.024570568616514517,3.2601897716522217,-0.04032868146896362,1.056277871131897,0.6677471712467867,0.016406927689602644
area_ratio,0.007765666197412022,3.3859223300970873,0.9390440714225397,1.3730647008831247,0.8226227120528301,0.006388213388212066
masnr_30,0.03646721789037042,5.0564470291137695,2.573805809020996,4.107059717178345,0.38241019453465264,0.013945435887594117
maflux_30,0.0042315870369268455,2938.4287109375,1448.296142578125,1453.3226928710938,0.9966267764360704,0.004217312947821065
meanang_30,0.002365734987026691,75.0,75.0,60.0,,
masnr_50,0.03696242163228601,4.787260055541992,2.447103500366211,3.9933348894119263,0.33926156110116745,0.012539928865048913
maflux_50,0.004097875866478483,3792.635498046875,1818.271240234375,1623.2161865234375,1.0987938537375312,0.004502720815465917
meanang_50,0.0026493028770373326,75.0,75.0,67.5,,
masnr_80,0.013871527838470154,4.21845817565918,2.2956409454345703,3.5626033544540405,0.3410905679935721,0.004731447309362433
maflux_80,0.0040045241599465245,4083.4111328125,2168.8984375,1747.553955078125,1.2200792313644597,0.004885836759047964
meanang_80,0.002358247064837913,90.0,75.0,67.5,1.5,0.0035373705972568696
lpca_snr_w48_t10_L50,0.0073918613550271375,3.924323081970215,1.1778215169906616,2.5433491468429565,0.502812018269286,0.0037167167266879343
lpca_flux_w48_t10_L50,0.0036316952964398773,2956.799072265625,798.7709350585938,985.8639526367188,0.9133037430750888,0.003316840907946734
lpca_elong_w48_t10,0.005826998426628041,6.228362083435059,4.404300212860107,4.563946723937988,0.912477469293539,0.005317004777906988
lpca_L_w48_t10,0.004965324047245322,63.610130310058594,51.610504150390625,64.96605682373047,-0.11299739638800495,0.0
lpca_snr_w48_t10_L80,0.004871988279317385,3.325714349746704,0.9898337721824646,2.226211905479431,0.4707014917131527,0.002293252150683689
lpca_flux_w48_t10_L80,0.003325984066611501,3077.5146484375,848.0261840820312,1304.0377197265625,0.7954635821237114,0.0026456991997131736
lpca_snr_w32_t05_L40,0.022445804818642057,4.434774875640869,1.3406760692596436,3.141257405281067,0.4180595227573438,0.009383682450385986
lpca_flux_w32_t05_L40,0.004513027220906563,2964.1650390625,813.31005859375,1177.8206481933594,0.8305275841887912,0.0037481935951577824
lpca_elong_w32_t05,0.007282418146284695,6.0066399574279785,4.0265350341796875,3.7916988134384155,1.1185978672059618,0.008146097406536053
lpca_L_w32_t05,0.00465984562410874,59.18964767456055,46.46432113647461,49.73101997375488,0.7432915511045401,0.003463623881851489
lpca_snr_w64_t20_L60,0.005283909339804114,3.3655810356140137,0.9679482579231262,2.2914386987686157,0.4480011785528441,0.0023671976115986234
lpca_flux_w64_t20_L60,0.004058821508655793,2592.367919921875,715.3308715820312,968.6492004394531,0.8650434833561037,0.0035110570961682827
lpca_elong_w64_t20,0.004925921882698802,6.529790878295898,5.328619003295898,4.362622261047363,1.8042119220020325,0.008887406987615875
lpca_L_w64_t20,0.005003923815957687,72.91447448730469,73.76140594482422,81.8837661743164,10.590339522020738,0.010007847631915374
or_r,0.006234443843250813,0.9515025615692139,0.9094622135162354,0.8583489060401917,2.215815516361368,0.012468887686501626
or_beta,0.004016306642909314,87.85566711425781,94.30927276611328,68.3848648071289,-3.0170424654829784,0.0
or_n_pix,0.005412932206310497,1146.5,753.0,798.5,0.8843710292249047,0.004787040426419449
or_agg_max,0.09072247338412072,0.9988818168640137,0.8967044353485107,0.9941489994525909,0.04631961928584596,0.004202230427822765
or_agg_mean_loose,0.028871239414571905,0.8202822208404541,0.37108713388442993,0.6172718107700348,0.4519426324230787,0.013048143942338572
or_agg_mean_tight,0.032357019782781125,0.8517423868179321,0.413275808095932,0.6898274421691895,0.3692754533781723,0.01194865315025299
or_snr_L30,0.03241157838617806,4.699801921844482,1.4038827419281006,3.333393931388855,0.4145756967530659,0.01343705269231638
or_flux_L30,0.0040160979104981905,2662.555908203125,748.8129272460938,1008.4551086425781,0.8643275867105873,0.0034712242149743332
or_snr_L50,0.01623889799026867,4.392308235168457,1.2702693939208984,3.380813479423523,0.32398532086831544,0.005261164575925038
or_flux_L50,0.005712210530128463,3196.998291015625,856.124267578125,1026.6080627441406,0.9271708799964957,0.005296195263944457
or_snr_L80,0.007573062171033833,3.5570785999298096,1.041843056678772,2.585657000541687,0.38621498015765815,0.002924830056118543
or_flux_L80,0.003815459555134903,3242.99609375,889.3265380859375,1326.400634765625,0.8143010363430606,0.0031069326698713847
