ObjID,image_id,visit,detector,trail_length,lsst_psf_snr,x,y,nn_detected,stack_detected
K25O02E,1530,2025071700394,99,8.800864085168763,3.5179884066429072,2389.9681747702843,1812.8752316809805,False,False
K25O17H,1543,2025071700464,38,6.946832509532112,8.961288249375004,1971.79133942526,1340.4824460325535,True,True
K25O12U,1536,2025071700492,167,8.196241314480494,6.539227021886994,1134.7659174810667,3135.5323342143874,True,True
K25O12U,1540,2025071700493,5,8.196275507559545,5.429499491458534,1730.1496716079596,3557.0729310525194,True,True
K20B05A,1552,2025071700514,49,6.8463551880786575,9.232216026426771,2843.9391379402773,240.7256579462536,True,True
K25O07X,1566,2025071700619,52,6.36571577121671,3.620480473823192,3165.2121824351725,3239.3016494606827,False,True
K25O07X,1576,2025071700674,52,6.519953406828876,4.149991414322408,2862.182981121497,3558.059278685631,False,True
K25O03Z,1579,2025071700656,66,8.067463250590178,9.429363480034828,1222.77169034591,2551.04088207682,False,True
K25N01U,1616,2025071800215,26,8.485565125166266,4.189973903754665,1919.790990676724,945.1650220245216,False,False
K25O01Y,1593,2025071800129,87,23.52771680012953,4.214395616915012,1724.921284644581,2240.652949351728,False,True
K25M89U,1586,2025071800040,172,7.868538462642237,8.964421154500437,2241.998652137356,361.6481149707512,True,True
K25O01D,1615,2025071800265,130,9.720905928356396,4.346343054793295,3119.3165009612576,630.7720780575315,False,False
K25O11L,1614,2025071800236,101,21.54698420119857,2.119630217428474,202.1714591643571,316.5552475768079,False,False
K22P00J,1643,2025071800386,29,8.27664004302547,7.025864592015057,277.5790840427435,1795.604649909534,True,True
K25P00H,1629,2025071800279,39,11.880093476435627,5.702641698593907,2310.140494463837,1851.7626485850656,False,True
K25O17H,1628,2025071800341,57,7.132659350326499,5.810079939703734,2676.424308916358,1484.76538321528,False,True
K25O01U,1691,2025071900252,33,19.676963753384843,7.211412235897359,3873.1445416492697,3929.984867262797,True,True
K25M02D,1684,2025071900172,37,10.068988313249973,2.070484461542069,3722.198055185254,3712.070721353584,False,True
K25A02H,1699,2025071900276,28,8.764717408267943,4.775386009164411,853.811913326428,3414.0426595845624,False,True
K25O09W,1704,2025071900282,57,9.586423887017162,3.405868513072758,3704.452883335958,1958.096006660478,False,False
K25A02H,1698,2025071900277,178,8.752158113542238,5.021664134886661,3649.2652376721226,2556.516805504368,False,True
K25O03Z,1702,2025071900280,114,10.834958555346198,4.372620095910944,3965.666630301444,1400.3448471063275,False,True
K25O01U,1696,2025071900234,63,19.610338903966426,5.608072929222364,3698.701913585966,2680.333968550357,True,True
K25M89U,1689,2025071900261,184,7.563551003360305,8.388011607931794,200.20809848981776,1973.840130467668,False,True
K25D49K,1716,2025071900380,167,8.516184232317078,2.7995317997911813,2334.204487714892,1454.4037237378766,False,False
K25P00H,1726,2025071900410,84,9.724245421741967,6.097567054184505,1437.7745814053178,900.6654778863632,False,False
K17D15S,1739,2025071900498,117,6.578492383119003,3.5693279153940964,496.6950605636903,3867.3203856847695,False,False
K22P00J,1753,2025071900535,59,8.538049272798006,3.988115783964299,2070.177057142768,772.6114988350536,False,False
