ObjID,image_id,trail_length,snr,pmax_pt,line_thr0.5,pt_thr0.5,line_thr0.3,pt_thr0.3,line_thr0.1,pt_thr0.1
K22Y06N,962,8.580182409053599,7.324656284557051,0.9497664570808411,True,True,True,True,True,True
K25N02Y,950,17.286733322727784,2.6202546540064944,0.4848516583442688,False,False,True,True,True,True
K25N02Y,976,17.199968693958564,2.3428312156138635,0.0072882394306361675,False,False,False,False,False,False
K20B05A,982,6.351849908974587,2.3124740182957733,0.0012045629555359483,False,False,False,False,False,False
K20M02P,1041,9.920353127782306,5.650611614656108,0.003322429256513715,False,False,False,False,False,False
K17W13W,1036,6.459669883406432,3.861217590164511,0.0015152955893427134,False,False,False,False,False,False
K18B06Y,1112,26.65957637350924,7.395745896043129,0.4761117398738861,False,False,True,True,True,True
K16X18H,1250,6.337895160204547,2.142851732476506,0.001169524621218443,False,False,False,False,False,False
K23Y01O,1249,6.728719471670107,4.197735428013516,0.9964687824249268,True,True,True,True,True,True
K25O09V,1283,12.481756843838784,2.2424481348269305,0.4761117398738861,False,False,True,True,True,True
K18P22D,1296,12.644488912115651,4.346497976385395,0.99835205078125,True,True,True,True,True,True
K18P22D,1281,12.613701351700726,6.201342199707135,0.9265375733375549,True,True,True,True,True,True
K23Y01O,1328,6.77129476263638,2.782883409334584,0.06215094029903412,False,False,False,False,False,False
K18B05J,1330,9.741146837407843,3.595238629192903,0.9775893688201904,True,True,True,True,True,True
K25F23V,1351,10.747085198459525,4.357474000046198,0.0010872614802792668,False,False,False,False,False,False
K25O07Y,1361,15.7978872949736,3.0607953428809567,0.00039212789852172136,False,False,False,False,False,False
K22P20K,1379,6.443833508067038,8.186346831592328,0.2545118033885956,False,False,False,False,False,True
K22P20K,1436,8.851945337629989,5.309059481839164,0.07658688724040985,False,False,False,False,False,False
K22P20K,1439,8.900502668251452,4.804982687566695,0.9984833598136902,True,True,True,True,True,True
K22P20K,1449,8.882974185975678,3.220448874133534,0.010757728479802608,False,False,False,False,False,False
K22P20K,1455,8.895974413388972,4.031388382890127,0.9911892414093018,True,True,True,True,True,True
K25M00V,1522,9.46139095950886,2.487680204530744,0.997504472732544,True,True,True,True,True,True
K25O02E,1530,8.800864085168763,3.5179884066429072,0.9777535796165466,True,True,True,True,True,True
K25N01U,1616,8.485565125166266,4.189973903754665,0.9411721229553223,True,True,True,True,True,True
K25O01D,1615,9.720905928356396,4.346343054793295,0.9977629780769348,True,True,True,True,True,True
K25O11L,1614,21.54698420119857,2.119630217428474,0.995927631855011,True,True,True,True,True,True
K25O09W,1704,9.586423887017162,3.405868513072758,0.9973635077476501,True,True,True,True,True,True
K25D49K,1716,8.516184232317078,2.7995317997911813,0.008674846030771732,False,False,False,False,False,False
K25P00H,1726,9.724245421741967,6.097567054184505,0.05912578105926514,False,False,False,False,False,False
K17D15S,1739,6.578492383119003,3.5693279153940964,0.9413474798202515,True,True,True,True,True,True
K22P00J,1753,8.538049272798006,3.988115783964299,0.9980936646461487,True,True,True,True,True,True
K23B08P,1767,14.551230532398757,2.295130975765052,0.2851443886756897,True,False,True,False,True,True
K18B05E,1789,15.26292097340304,3.642974079493121,0.9912895560264587,True,True,True,True,True,True
K25O09W,1773,8.114379863760975,7.92568892784373,0.4761117398738861,False,False,True,True,True,True
K25O01U,1807,26.97886640193469,9.648053656396996,0.4761117398738861,False,False,True,True,True,True
K25O09W,1836,8.319296391189527,3.289881371062121,0.9885507822036743,True,True,True,True,True,True
K25O09V,1850,13.610059389767931,3.4524642309911107,0.04544217512011528,False,False,False,False,False,False
K25P01B,1852,10.322902782946688,3.2883281920164102,0.9994013905525208,True,True,True,True,True,True
K20B05A,1887,7.041348616390051,2.841889167693328,0.0011273883283138275,False,False,False,False,False,False
K25P00K,1868,7.71853301716017,6.161790322481834,0.2947518825531006,False,False,True,False,True,True
K25N01J,1885,6.805312496726567,2.3944966838487947,0.0027197059243917465,False,False,False,False,False,False
K25N01U,1900,8.943638596965693,3.5101669211960465,0.5214515924453735,True,True,True,True,True,True
K25A02H,1889,6.591192616937514,2.890936017307594,0.9975970983505249,True,True,True,True,True,True
K25O17H,1934,9.823672426402355,2.028703858469261,0.0006982097984291613,False,False,False,False,False,False
