image_id,visit,detector,band
2178,2025072300393,175,g_6
2180,2025072300407,16,g_6
2171,2025072300366,95,g_6
2176,2025072300380,67,g_6
2174,2025072300368,104,g_6
2182,2025072300394,22,g_6
2181,2025072300392,33,g_6
2187,2025072300422,14,r_57
2169,2025072300377,68,g_6
2186,2025072300425,32,r_57
2179,2025072300406,111,g_6
2194,2025072300474,184,i_39
2189,2025072300430,72,r_57
2196,2025072300475,72,i_39
2193,2025072300462,139,i_39
2184,2025072300428,8,r_57
2192,2025072300461,3,i_39
2198,2025072300464,177,i_39
2190,2025072300466,151,i_39
2199,2025072300477,173,i_39
2202,2025072300489,101,r_57
2200,2025072300459,92,i_39
2201,2025072300462,9,i_39
2164,2025072300376,144,g_6
2205,2025072300505,170,r_57
2195,2025072300461,32,i_39
2146,2025072300290,11,z_20
2207,2025072300517,56,i_39
2206,2025072300505,54,r_57
2204,2025072300493,135,r_57
2212,2025072300544,116,g_6
2151,2025072300262,127,i_39
2213,2025072300535,169,g_6
2216,2025072300540,19,g_6
2211,2025072300525,140,g_6
2154,2025072300241,159,i_39
2209,2025072300521,13,g_6
2197,2025072300431,131,r_57
2210,2025072300519,21,g_6
2152,2025072300244,11,i_39
2217,2025072300523,77,g_6
2208,2025072300520,170,g_6
2220,2025072300532,23,g_6
2214,2025072300526,139,g_6
2219,2025072300539,68,g_6
2223,2025072300551,125,r_57
2218,2025072300541,66,g_6
2221,2025072300547,34,g_6
2227,2025072300531,118,g_6
2230,2025072300534,166,g_6
2222,2025072300528,121,g_6
2232,2025072300553,180,r_57
2215,2025072300538,84,g_6
2228,2025072300545,33,g_6
2224,2025072300546,88,g_6
2225,2025072300550,86,r_57
2226,2025072300549,140,r_57
2241,2025072300576,79,r_57
2244,2025072300571,70,r_57
2239,2025072300580,140,u_24
2229,2025072300554,120,r_57
2246,2025072300588,88,u_24
2242,2025072300565,142,r_57
2234,2025072300563,88,r_57
2248,2025072300581,140,u_24
2240,2025072300577,83,r_57
2253,2025072300583,129,u_24
2249,2025072300574,80,r_57
2252,2025072300575,89,r_57
2247,2025072300586,117,u_24
2254,2025072300587,176,u_24
2255,2025072300578,42,r_57
2258,2025072800102,183,i_39
2243,2025072300573,132,r_57
2250,2025072300589,86,u_24
2259,2025072800112,183,r_57
2257,2025072800106,59,i_39
2270,2025072800414,74,i_39
2264,2025072800132,183,i_39
2268,2025072800403,16,r_57
2262,2025072800116,59,r_57
2260,2025072800130,3,i_39
2276,2025072800422,32,i_39
2272,2025072800402,16,r_57
2267,2025072800404,16,r_57
2271,2025072800420,159,i_39
2265,2025072800146,59,r_57
2278,2025072800424,29,i_39
2263,2025072800100,3,i_39
2261,2025072800136,59,i_39
2269,2025072800409,4,i_39
2274,2025072800416,124,i_39
2256,2025072800110,3,r_57
2273,2025072800440,17,i_39
2284,2025072800470,32,z_20
2266,2025072800140,3,r_57
2282,2025072800467,9,z_20
2281,2025072800441,178,i_39
2283,2025072800462,77,z_20
2277,2025072800435,158,i_39
2291,2025072800464,162,z_20
2279,2025072800468,149,z_20
2275,2025072800431,102,i_39
2292,2025072800514,4,r_57
2285,2025072800447,141,i_39
2280,2025072800436,36,i_39
2289,2025072800446,76,i_39
2290,2025072800454,12,i_39
2288,2025072800479,100,z_20
2299,2025072800489,178,z_20
2287,2025072800457,4,z_20
2303,2025072800503,162,z_20
2293,2025072800494,76,z_20
2286,2025072800450,116,i_39
2296,2025072800498,115,z_20
2304,2025072800498,135,z_20
2294,2025072800511,61,r_57
2301,2025072800507,138,r_57
2297,2025072800512,96,r_57
2295,2025072800502,12,z_20
