image_id,visit,detector,band
130,2025070900582,46,y
131,2025070900582,47,y
132,2025070900582,48,y
133,2025070900582,49,y
134,2025070900582,50,y
135,2025070900582,51,y
136,2025070900582,52,y
137,2025070900582,53,y
138,2025070900582,54,y
139,2025070900582,55,y
140,2025070900582,56,y
141,2025070900582,57,y
142,2025070900582,58,y
143,2025070900582,59,y
144,2025070900582,60,y
145,2025070900582,61,y
146,2025070900582,62,y
147,2025070900582,63,y
148,2025070900582,64,y
149,2025070900582,66,y
150,2025070900582,67,y
151,2025070900582,69,y
152,2025070900582,70,y
153,2025070900582,83,y
154,2025070900582,86,y
155,2025070900582,90,y
156,2025070900582,91,y
157,2025070900582,92,y
158,2025070900582,93,y
159,2025070900582,94,y
160,2025070900582,95,y
161,2025070900582,98,y
162,2025070900582,99,y
163,2025070900582,100,y
164,2025070900582,101,y
165,2025070900582,102,y
166,2025070900582,103,y
167,2025070900582,104,y
168,2025070900582,105,y
169,2025070900582,106,y
170,2025070900582,107,y
171,2025070900582,108,y
172,2025070900582,109,y
173,2025070900582,111,y
174,2025070900582,114,y
175,2025071000372,33,z
176,2025071000372,72,z
177,2025071000372,73,z
178,2025071000372,75,z
179,2025071000372,76,z
180,2025071000372,78,z
181,2025071000372,79,z
182,2025071000372,117,z
183,2025071000372,118,z
184,2025071000372,119,z
185,2025071000372,120,z
186,2025071000372,121,z
187,2025071000372,124,z
188,2025071000372,125,z
189,2025071000372,132,z
190,2025071000372,162,z
191,2025071000414,177,z
192,2025071000414,178,z
193,2025071000414,179,z
194,2025071000414,183,z
195,2025071000414,184,z
196,2025071000414,185,z
197,2025071000414,186,z
198,2025071000414,187,z
199,2025071000416,8,z
200,2025071000416,12,z
201,2025071000416,13,z
202,2025071000416,14,z
203,2025071000416,15,z
204,2025071000416,16,z
205,2025071000416,17,z
206,2025071000416,24,z
207,2025071000416,38,z
208,2025071000416,41,z
209,2025071000416,44,z
210,2025071000416,45,z
211,2025071000416,46,z
212,2025071000416,47,z
213,2025071000416,48,z
214,2025071000416,49,z
215,2025071000416,50,z
216,2025071000416,51,z
217,2025071000416,52,z
218,2025071000416,53,z
219,2025071000416,54,z
220,2025071000416,55,z
221,2025071000416,57,z
222,2025071000416,58,z
223,2025071000416,59,z
224,2025071000416,60,z
225,2025071000416,61,z
226,2025071000416,62,z
227,2025071000416,69,z
228,2025071000416,90,z
229,2025071000416,91,z
230,2025071000416,92,z
231,2025071000416,93,z
232,2025071000416,94,z
233,2025071000416,95,z
234,2025071000416,96,z
235,2025071000416,97,z
236,2025071000416,98,z
237,2025071000416,99,z
238,2025071000416,100,z
239,2025071000416,101,z
240,2025071000416,102,z
241,2025071000416,103,z
242,2025071000416,104,z
243,2025071000416,105,z
244,2025071000416,106,z
245,2025071000416,108,z
246,2025071000416,109,z
247,2025071000416,111,z
248,2025071000416,112,z
249,2025071000416,136,z
250,2025071000444,33,z
251,2025071000444,72,z
252,2025071000444,73,z
253,2025071000444,75,z
254,2025071000444,76,z
255,2025071000444,78,z
256,2025071000444,79,z
257,2025071000444,117,z
258,2025071000444,118,z
259,2025071000444,119,z
260,2025071000444,120,z
261,2025071000444,121,z
262,2025071000444,124,z
