ssObjectId,rate,helio,topo,ra,dec,ndet,rabin,decbin
21165827645519189,0.05584992757891236,1.1942199729048149,0.1908323645420117,312.62939412153696,-18.906279286071715,29,310,-20
21165827645651034,1.239232702032896,1.1459581565351633,0.17036093696013727,188.66723544130528,8.662936299619812,84,185,5
21165827679138374,1.8483012107464794,1.006053476066852,0.17621834231831432,148.85654835982467,2.7349933828569637,91,145,0
21165827729404497,3.5554082281447235,1.0837594251600675,0.07641755014873813,300.9581103252076,-16.65937521020089,1,300,-20
21165827762958422,2.3458539907983758,1.0710612522892025,0.05508190601712257,295.63256119707285,-18.103582541465443,12,295,-20
21165827762958666,0.652412710904624,1.273455457202169,0.2684254311233306,303.3851707060613,-20.889748734465705,16,300,-25
21165827762958924,0.11292470796760418,1.172437225332963,0.15824765779928474,313.9807626557292,-13.571494269169676,2,310,-15
21165827763155538,0.6341737520130878,1.263718067968533,0.29826343995120247,187.9041692839562,7.134102061736247,28,185,5
21165827763156053,0.39710599522040557,1.2518630716547245,0.2862101994277353,185.76258814477205,9.169934119132476,7,185,5
21165827763484762,1.4741745142572327,1.107389874695499,0.1027081385796144,300.0434286099064,-14.839714932731376,1,300,-15
21165827763484994,0.975487491858871,1.265369664987367,0.3229155919274316,318.0141457106318,-19.02953155890196,1,315,-20
21165827763484998,6.227956496400486,1.0659726709458353,0.06912636833714729,318.71053143676716,-20.19102287660105,2,315,-25
21165827763484999,3.05485892610269,1.0952827137080856,0.11680091434413835,323.2951428040685,-19.111974862996053,1,320,-20
21165827763548504,1.2470743874097676,1.3278952144616474,0.3221954670341291,298.2304303215937,-18.028060348673215,4,295,-20
21165827763550544,0.842395594615955,1.253262751036366,0.24483117668494797,301.8015827139443,-20.225873406566095,13,300,-25
21165827779735620,3.1513537898007717,1.1080584236071964,0.1010705177096233,308.5267311910829,-19.867617115484904,2,305,-20
21165827779735623,1.0479009110338635,1.1433204568437023,0.1477995429280209,323.0697197758715,-18.86519544627138,8,320,-20
