#MJD,RA,Dec,observerX,observerY,observerZ,stringID,mag,band,obscode,origindex
60867.3369781,16.3994737,10.6671362,49358956.092,-143842306.625,6445.220,124,21.500,z,I11,126
60867.3365360,15.1539023,9.3129111,49357893.230,-143842684.694,6451.017,120,25.451,z,I11,122
60867.3392285,15.1565206,9.3139418,49364364.876,-143840382.107,6415.626,125,23.566,z,I11,127
60867.3419568,354.8638352,0.3835931,49370920.912,-143838048.121,6379.554,129,21.500,z,I11,131
60867.3478011,354.8816224,0.3928931,49384959.209,-143833045.851,6301.617,134,24.394,z,I11,136
60867.3482453,354.8829739,0.3935999,49386025.986,-143832665.477,6295.658,135,25.032,z,I11,137
60867.9747642,255.9459175,-27.7947495,50871588.180,-143308596.582,6724.369,140,21.500,i,I11,142
60867.9858214,255.9704992,-27.7911043,50898138.079,-143299485.492,6852.131,143,21.500,r,I11,145
60867.9761141,257.9816287,-18.9072992,50874828.204,-143307485.269,6740.267,141,19.332,i,I11,143
60868.0126124,258.0056115,-18.8681009,50962549.516,-143277330.015,7135.638,146,22.422,r,I11,148
60868.0309638,258.0172001,-18.8481618,51006731.146,-143262081.014,7305.286,158,24.182,i,I11,160
60868.0539378,258.0313711,-18.8229618,51062100.566,-143242898.103,7485.502,162,22.858,z,I11,164
60867.9788290,253.6412471,-26.8113873,50881345.760,-143305249.321,6771.994,142,18.925,i,I11,144
60868.0073613,253.6986251,-26.7911680,50949916.000,-143281682.073,7083.242,144,18.853,r,I11,146
60868.0612342,258.0358096,-18.8149012,51079697.143,-143236782.824,7534.674,166,23.322,z,I11,168
60868.0130532,260.4618133,-14.4480577,50963610.209,-143276964.463,7139.961,147,20.586,r,I11,149
60868.0314059,260.4765040,-14.4619476,51007795.899,-143261712.923,7309.102,159,20.761,i,I11,161
60868.0544006,260.4948336,-14.4793099,51063216.534,-143242510.558,7488.740,163,21.226,z,I11,165
60868.0962320,260.5280282,-14.5107701,51164160.417,-143207286.455,7712.260,172,20.630,r,I11,174
60868.0144610,254.1039350,-13.0782116,50966997.948,-143275796.760,7153.689,148,20.059,r,I11,150
60868.0332099,254.1109029,-13.1058398,51012141.559,-143260210.298,7324.537,160,20.033,i,I11,162
60868.0562705,254.1194130,-13.1397605,51067725.767,-143240944.238,7501.659,164,20.574,z,I11,166
60868.0836502,254.1294619,-13.1799415,51133786.094,-143217922.408,7659.832,168,22.415,y,I11,170
60868.0928544,254.1328337,-13.1934266,51156005.513,-143210145.296,7699.475,170,21.976,y,I11,172
60868.0951622,254.1336790,-13.1968064,51161577.463,-143208192.219,7708.314,171,20.156,r,I11,173
60868.0167775,245.0272461,-9.5111874,50972573.115,-143273874.515,7176.014,149,21.500,r,I11,151
60868.0582285,245.0419516,-9.5609649,51072447.673,-143239303.374,7514.905,165,21.500,z,I11,167
60868.0800969,245.0496823,-9.5871675,51125209.813,-143220919.524,7642.669,167,26.887,y,I11,169
60868.0892864,245.0529339,-9.5981658,51147391.553,-143213162.418,7684.938,169,21.500,y,I11,171
60868.1000733,245.0567574,-9.6110677,51173435.497,-143204031.911,7725.638,174,26.617,r,I11,176
60868.0205987,248.2231583,-17.7758720,50981771.243,-143270701.541,7212.109,150,19.650,r,I11,152
60868.0210856,248.2243498,-17.7767297,50982943.380,-143270297.058,7216.642,151,19.901,r,I11,153
60868.0230767,259.4558167,-17.7728511,50987737.162,-143268642.467,7235.022,152,24.342,y,I11,154
60868.0305075,259.4503871,-17.7611959,51005632.009,-143262460.960,7301.333,157,21.500,i,I11,159
60868.0534631,259.4335881,-17.7251736,51060955.985,-143243295.545,7482.164,161,21.500,z,I11,163
60868.0274957,262.3470500,-14.0528362,50998378.030,-143264967.713,7274.895,155,22.063,y,I11,157
60868.0300514,262.3432486,-14.0514202,51004533.320,-143262840.720,7297.368,156,20.126,i,I11,158
60868.0967592,262.2423704,-14.0135650,51165433.393,-143206839.969,7714.170,173,19.955,r,I11,175
60868.1078543,262.2254166,-14.0070937,51192224.949,-143197428.875,7748.913,177,20.047,i,I11,179
60868.1073150,260.5368053,-14.5190776,51190922.540,-143197887.008,7747.466,176,20.663,i,I11,178
60868.1062485,254.1377403,-13.2130318,51188346.934,-143198792.804,7744.531,175,20.204,i,I11,177
60868.1509292,254.1541637,-13.2782519,51296258.215,-143160613.604,7783.358,183,21.120,z,I11,185
60868.1713130,254.1617211,-13.3079192,51345477.244,-143143036.531,7743.511,190,21.885,y,I11,192
60868.1169023,239.3061963,-21.7418957,51214076.123,-143189732.679,7769.479,178,25.558,i,I11,180
60868.1563757,239.2516555,-21.7034074,51309410.926,-143155926.841,7776.228,184,29.408,z,I11,186
60868.1765748,239.2238745,-21.6836229,51358179.237,-143138483.135,7727.429,191,21.500,y,I11,193
60868.1178768,236.2865997,-21.3010150,51216429.693,-143188902.604,7771.275,180,20.784,i,I11,182
60868.1573404,236.1633212,-21.1790089,51311740.576,-143155095.927,7774.697,185,19.560,z,I11,187
60868.1178768,236.5032041,-23.3980432,51216429.693,-143188902.604,7771.275,179,23.313,i,I11,181
60868.1573404,236.4109334,-23.3719876,51311740.576,-143155095.927,7774.697,186,24.954,z,I11,188
60868.1774772,236.1009963,-21.1161998,51360357.447,-143137701.574,7724.434,192,22.054,y,I11,194
60868.1774772,236.3642444,-23.3585918,51360357.447,-143137701.574,7724.434,193,26.632,y,I11,195
60868.1240729,245.9463834,-20.3626006,51231394.592,-143183619.478,7780.770,181,20.703,z,I11,183
60868.1631727,245.9481695,-20.2772965,51325823.681,-143150067.889,7763.724,188,21.342,y,I11,190
60868.1245979,248.4773650,-17.9565781,51232662.716,-143183171.371,7781.422,182,20.823,z,I11,184
60868.1636493,248.5743503,-18.0231342,51326974.430,-143149656.658,7762.698,189,21.743,y,I11,191
60868.1610090,244.0680440,-25.5076286,51320599.117,-143151934.204,7768.138,187,19.963,z,I11,189
60868.1811624,244.0881304,-25.5326779,51369252.276,-143134507.842,7711.490,194,21.314,y,I11,196
60868.1865244,254.0545163,-26.6600580,51382192.592,-143129855.260,7690.614,195,18.518,i,I11,197
60868.2044194,254.0901252,-26.6465717,51425362.216,-143114279.748,7603.734,199,18.744,i,I11,201
60868.2109176,254.1030757,-26.6416602,51441030.705,-143108605.890,7565.778,201,19.039,z,I11,203
60868.2284963,254.1381732,-26.6283380,51483393.395,-143093210.428,7446.661,204,19.083,z,I11,206
60868.2003030,258.1204642,-18.6557460,51415434.215,-143117869.157,7626.032,197,21.500,i,I11,199
60868.2007493,258.1207511,-18.6552195,51416510.886,-143117480.107,7623.680,198,23.490,i,I11,200
60868.2244202,258.1362647,-18.6271445,51473573.788,-143096786.220,7476.372,202,21.500,z,I11,204
60868.2248631,258.1365608,-18.6266168,51474640.876,-143096397.850,7473.204,203,21.500,z,I11,205
60868.2382801,345.5064676,-13.7945036,51506954.290,-143084613.284,7370.368,205,19.810,y,I11,207
60868.2794960,345.6006085,-13.8252530,51606049.513,-143048189.988,6978.177,210,19.824,y,I11,212
60868.3069294,345.6631588,-13.8456460,51671840.647,-143023783.284,6663.131,221,18.108,i,I11,223
60868.2495271,358.0485932,-9.9332704,51534022.356,-143074706.178,7274.289,206,20.307,y,I11,208
60868.2818608,358.0906469,-9.9327678,51611726.627,-143046090.758,6952.540,212,20.255,y,I11,214
60868.2715211,340.6366166,-5.1156631,51586897.638,-143055261.977,7062.304,208,21.500,y,I11,210
60868.2937194,340.6658821,-5.1026353,51640178.572,-143035550.401,6819.491,220,21.500,y,I11,222
60868.2804400,351.6239183,-7.2428471,51608315.888,-143047352.107,6967.980,211,20.597,y,I11,213
60868.3083417,351.6552935,-7.2543387,51675223.516,-143022523.778,6645.949,222,19.225,i,I11,224
60868.2855222,352.2642696,-4.4152889,51620513.907,-143042838.887,6912.248,214,21.500,y,I11,216
60868.3087970,352.2742388,-4.3938667,51676314.243,-143022117.588,6640.390,223,24.181,i,I11,225
60868.2869139,356.6581276,0.3523193,51623853.401,-143041602.234,6896.745,216,21.500,y,I11,218
60868.3097170,356.7134763,0.3766304,51678517.508,-143021296.949,6629.134,225,21.500,i,I11,227
60868.2873639,353.9313899,-2.0898394,51624933.310,-143041202.235,6891.709,217,21.500,y,I11,219
60868.3092515,353.9420828,-2.0701485,51677402.682,-143021712.205,6634.834,224,21.532,i,I11,226
60868.2882432,353.5116022,3.1193996,51627042.847,-143040420.726,6881.842,218,20.746,y,I11,220
60868.3219966,353.5230969,3.1583840,51707910.790,-143010331.854,6475.632,233,19.616,i,I11,235
60868.2905249,346.3453438,2.6831097,51632516.706,-143038392.022,6856.047,219,21.134,y,I11,221
60868.3242651,346.3305332,2.7317933,51713337.150,-143008304.149,6446.655,234,20.461,i,I11,236
60868.3259707,61.4142734,-50.2875993,51717416.536,-143006779.093,6424.749,235,13.331,i,I11,237
