detid,mjd,ra,dec,mag,band1,obscode,ObjID
530,60874.08472908415,302.692832256871,-14.891657346799043,21.81814113391362,g,I11,K25O11L
531,60874.0860801468,303.08464321865176,-24.63014540913262,20.52779361508204,g,I11,K25A02H
532,60874.089200062255,306.6913923316039,-23.55032390134065,21.33717553402092,g,I11,K25O09V
533,60874.09071190367,310.1117054865943,-24.981382323187447,19.235624014912183,g,I11,K25O00M
534,60874.09071190367,308.7716881702788,-25.98422111706525,18.7521170382168,g,I11,K25O00F
535,60874.09122155867,308.77303965168613,-25.98518150100629,19.461671614940634,g,I11,K25O00F
536,60874.09172368786,310.1164955381236,-24.981564718587297,19.830826700590208,g,I11,K25O00M
537,60874.09269289411,316.09154021111203,-26.29483861170517,29.314124463081228,g,I11,K25M00V
538,60874.09523144609,312.15704844509537,-17.703237394474176,21.021638022585687,g,I11,K25N01U
539,60874.096706183846,314.9770496848478,-8.696379568632702,19.881021606602232,g,I11,K03B01N
540,60874.100469236335,302.3096363525352,-14.905105188787577,24.639651308670004,g,I11,K25O03Z
541,60874.10137537095,296.9916563042109,-11.931646368156647,21.5,g,I11,K25O09W
542,60874.10787045439,302.73995480420234,-14.931851303308582,20.88604064224498,r,I11,K25O11L
543,60874.10787045439,302.3180549746652,-14.900853663955154,21.464466011533677,r,I11,K25O03Z
544,60874.10938706565,303.0623060802775,-24.61300162761991,19.615814792344857,r,I11,K25A02H
545,60874.11258085765,306.7216939614967,-23.51644576712571,20.702357694032365,r,I11,K25O09V
546,60874.115138389214,310.2262981710429,-24.98552949059265,18.70851392214892,r,I11,K25O00M
547,60874.11609233988,316.1280018591997,-26.30925220003912,23.540788213026616,r,I11,K25M00V
548,60874.11857828892,312.1446741732971,-17.72463167066985,20.48282926466868,r,I11,K25N01U
549,60874.12004881803,314.92857564567385,-8.648130719754809,20.301432206296177,r,I11,K03B01N
550,60874.121513535865,309.49981404344413,-10.705065800345828,18.035157993882564,r,I11,K25O00J
551,60874.20460735143,329.6276563172114,-19.867659746158825,18.95346407798573,r,I11,K18L15U
552,60874.20460735143,327.78392297212685,-20.41253317522888,20.944196346737648,r,I11,K25O01D
553,60874.20512030079,332.5235681105461,-22.60697776253538,20.863779056611627,r,I11,K15N13Y
554,60874.20706134962,329.6603607673796,-13.22854419076605,21.42578750273956,r,I11,K25O04Q
555,60874.207524050566,332.8283101232179,-12.34306158547961,21.5,r,I11,K25P00P
556,60874.20803211637,329.66182177904693,-13.229778968759309,21.324029569545186,r,I11,K25O04Q
557,60874.20849772209,332.82916136187714,-12.34182285867984,25.33799575710189,r,I11,K25P00P
558,60874.20991357403,329.7999020168462,-4.68129522147104,21.97413730142701,r,I11,K25O17H
559,60874.21684845351,337.4522973074634,-21.8865592493532,26.322042073965758,r,I11,K25N00W
560,60874.21735610878,338.15818448634934,-17.214804106224932,23.223289615448,r,I11,K25O02E
561,60874.23274068955,329.82429798688355,-4.68871208700539,22.10839217479812,r,I11,K25O17H
562,60874.24065506744,329.71078767639773,-13.271229436922432,20.93232528451347,r,I11,K25O04Q
563,60874.24122157935,329.7116370921036,-13.271949216667126,20.95462488914309,r,I11,K25O04Q
564,60874.24169515447,332.8580079109544,-12.29951850717634,21.5,r,I11,K25P00P
565,60874.24215240082,332.8584039320157,-12.29893368012523,21.5,r,I11,K25P00P
566,60874.24407811608,338.1961642621497,-17.22480746626387,20.75321207968924,r,I11,K25O02E
567,60874.2445879297,337.5011481021015,-22.001661822317367,21.17035227850161,r,I11,K25N00W
568,60874.25334514737,329.8462715824552,-4.695403327903799,21.890316262569925,i,I11,K25O17H
569,60874.25614440253,324.6686554797788,-6.151108680333465,20.9229803378354,i,I11,K25P00H
570,60874.26135257246,329.74177454394874,-13.297488920988176,21.158797556678543,i,I11,K25O04Q
571,60874.261924720086,329.74263046331447,-13.298214146257656,21.16945068947604,i,I11,K25O04Q
572,60874.26241585196,332.87588485472725,-12.273026467393947,21.5,i,I11,K25P00P
573,60874.26287743707,332.8762826345277,-12.27243501731089,21.5,i,I11,K25P00P
574,60874.264966795454,338.2258698483837,-17.232602800281484,20.69926218641267,i,I11,K25O02E
575,60874.2689882166,345.7297074975851,-15.290884108459196,22.33041761078893,r,I11,K25O12U
576,60874.26945435279,345.729076158496,-15.290930148103511,22.59136614952493,r,I11,K25O12U
577,60874.27581884987,357.7467876849044,-12.767316323292407,21.5,r,I11,K19U03Y
578,60874.279762034894,355.6682099858665,2.959358492441986,18.575784247896223,r,I11,K25F02V
579,60874.279762034894,357.1951615334456,3.578149347874533,21.86504639439604,r,I11,K20B05A
580,60874.280712745385,350.485927003828,-0.8769337494491153,25.03458242962663,r,I11,K22Y06N
581,60874.28323312041,350.4905757500123,-0.8748245926430008,21.5,r,I11,K22Y06N
582,60874.28367714274,346.7119814463771,-1.5973520619528494,19.92841235787724,r,I11,K24P03R
583,60874.286564977,346.0242487646072,-10.952984610703924,21.091292978391795,r,I11,K25O10K
584,60874.28873440025,359.17788456542587,-10.051477370237093,19.785421137098588,r,I11,K02A31V
585,60874.28923897253,6.890638351132144,-9.7912752983938,21.5,r,I11,K08A04F
586,60874.28923897253,6.281661596655698,-7.573289443548172,19.48486375240145,r,I11,K05O00X
587,60874.29020168609,2.882278581009009,-3.193223362561997,21.5,r,I11,K22O02O
588,60874.29179746256,356.627670466519,6.379996956828797,26.93481173854037,r,I11,K24O02N
589,60874.29179746256,357.19697042191376,6.6996464804672025,21.5,r,I11,K16S00C
590,60874.29416546133,352.2657229794174,6.80455691330066,18.241024308477243,r,I11,K12O00Q
591,60874.29460991299,352.2674191256634,6.806491212938922,18.20083618621104,r,I11,K12O00Q
592,60874.29706871907,346.705019679823,-1.6110409378608397,19.805975688331323,r,I11,K24P03R
593,60874.30957776167,346.69850337129924,-1.6238294796476316,19.73105528145516,i,I11,K24P03R
594,60874.311971783405,345.9979610953517,-10.89822934496607,20.967496642961205,i,I11,K25O10K
595,60874.34081128807,290.86693450772344,-24.51768138210482,18.579525005047834,i,I11,K25O00O
596,60874.34081128807,292.05978918044906,-24.6082570596997,22.79096359899203,i,I11,K25O07X
597,60874.34227139538,294.8285898191255,-25.6319423378722,20.173692558425067,i,I11,K25O01U
598,60874.34519579767,302.8357968471859,-24.43767885873476,19.67946313540682,i,I11,K25A02H
599,60874.347671249634,307.01718346455823,-23.16712499780801,17.326969255764453,i,I11,K25O09V
600,60874.34817150039,302.7813675856049,-25.96720482650543,20.19084253238865,i,I11,K21N00X
601,60874.34952733537,309.34064905916586,-26.37049634034516,18.584484723601825,i,I11,K25O00F
602,60874.35300679999,316.47843608481327,-26.439081818685832,20.418527205478583,i,I11,K25M00V
603,60874.35651940672,312.01619578698444,-17.941788315915787,20.342543853509945,i,I11,K25N01U
604,60874.35788915606,308.54410984957445,-12.070395237020117,18.125491909427957,i,I11,K25O00J
605,60874.3588738247,302.601456539371,-14.750184875762724,21.54204073676673,i,I11,K25O03Z
606,60874.3598606166,302.602609288061,-14.749568839984894,21.12924728212497,i,I11,K25O03Z
607,60874.368465253545,294.81311271831225,-25.66758664358673,19.919819109320468,r,I11,K25O01U
608,60874.36891056768,292.0905143998828,-24.61597207908565,22.961711948176923,r,I11,K25O07X
609,60874.36891056768,290.9589214005564,-24.42926209094098,18.78640321652552,r,I11,K25O00O
610,60874.37033828076,294.8120265418535,-25.670138502193936,20.527577477432477,r,I11,K25O01U
611,60874.37373208678,302.808736408363,-24.41624743800929,19.75666159796574,r,I11,K25A02H
612,60874.37611314052,307.0537357130653,-23.123838212752016,20.683337712036455,r,I11,K25O09V
613,60874.37662062406,302.8142199652869,-25.98170437265629,20.231922942949428,r,I11,K21N00X
614,60874.37895512252,312.004153659992,-17.962175067757663,20.31381405147008,r,I11,K25N01U
615,60874.37991231756,311.387453971711,-24.98914804680944,18.88897714318945,r,I11,K25O00M
616,60874.38460251788,312.0011309632273,-17.96730590197722,20.337202855088567,r,I11,K25N01U
617,60874.38597976134,308.4326678076379,-12.229703708604298,17.754086887057174,r,I11,K25O00J
618,60874.38687805849,302.63441185915565,-14.732655062901095,21.02692368085971,r,I11,K25O03Z
619,60874.38687805849,303.3079254455457,-15.410453496947868,20.86096775235172,r,I11,K25O11L
620,60874.387833008586,302.6355451269071,-14.7320555110013,21.000046753683737,r,I11,K25O03Z
621,60874.98586678455,251.91133363616387,-33.38120370910197,19.72288264734349,g,I11,K25J01G
622,60874.99487956883,244.75602752720243,-18.081082627955524,22.699917225287194,g,I11,K25M89U
623,60874.99842622217,248.25326767348488,-17.395405450375982,26.638781497842896,g,I11,K20O03O
624,60875.00037078853,256.9492695613027,-26.48271501966752,16.479696419263576,g,I11,K07A02C
625,60875.06258822716,265.95476922226146,-14.083000893314717,21.19616913080355,u,I11,K12M06L
626,60875.07168776213,276.0914437173777,-23.037999101167657,24.46402352268477,u,I11,K25O01Y
627,60875.07281685547,281.18385351262856,-25.214540776563783,27.689527952383315,u,I11,K25O07Y
628,60875.07452765919,277.0586715112898,-31.37037575420527,22.975072772440413,u,I11,K25M92E
629,60875.07682468472,281.1943775024412,-25.2133874624473,27.559139785382104,u,I11,K25O07Y
630,60875.120646279,293.043569568717,-24.87683207367129,21.5,u,I11,K25O07X
631,60875.12179074602,293.45979442587,-22.17779573975425,22.24963681069277,u,I11,K25O00O
632,60875.14546914624,239.44092208907028,-22.403606919902685,25.388464136476827,g,I11,K25O04E
633,60875.15846005057,310.98744690410365,-27.15800197758724,22.40130884775553,u,I11,K25O00F
634,60875.15910283492,308.1426183167588,-21.97213819205606,29.396052216190693,u,I11,K25O09V
635,60875.1602440291,314.6344385764765,-24.9620742696476,21.5,u,I11,K25O00M
636,60875.16139082787,314.6381973368098,-24.962069144347588,22.77316683165909,u,I11,K25O00M
637,60875.16421655517,311.5974154223938,-18.68605068293334,24.601987183771435,u,I11,K25N01U
638,60875.17459690287,303.6515302785325,-14.24970119385232,25.7039333743154,u,I11,K25O03Z
639,60875.17518517439,305.4875983743222,-16.529919422829327,21.747114475697387,u,I11,K25O00J
640,60875.17634206978,305.10237914173484,-16.80012943859241,25.17479983351157,u,I11,K25O11L
641,60875.17634206978,305.483138978486,-16.535941984825175,22.381611015027072,u,I11,K25O00J
642,60875.17815336284,298.2696423146608,-11.78055929029063,21.5,u,I11,K25O09W
643,60875.20397097145,319.6294815679244,-20.26334952153112,31.365222377066058,u,I11,K18B05E
644,60875.20739355136,328.7521433342455,-21.22687055176035,24.813869721696975,u,I11,K25O01D
645,60875.207949996446,331.82110551117177,-21.642857101367248,21.5,u,I11,K15N13Y
