#r(AU) rdot(AU/day) norm mean_accel
1.050000 -0.007200 10800.000000 -0.200000
1.050000 -0.007200 10800.000000 0.200000
1.050000 -0.007200 10800.000000 -0.400000
1.050000 -0.007200 10800.000000 0.400000
1.050000 0.007200 49563.000000 0.000000
1.050000 0.007200 49563.000000 -0.200000
1.050000 0.007200 49563.000000 0.200000
1.050000 0.007200 49563.000000 -0.400000
1.050000 0.007200 49563.000000 0.400000
1.050000 0.007200 49563.000000 -0.600000
1.050000 -0.007400 10800.000000 0.000000
1.050000 -0.007400 10800.000000 -0.200000
1.050000 -0.007400 10800.000000 0.200000
1.050000 -0.007400 10800.000000 -0.400000
1.050000 -0.007400 10800.000000 0.400000
1.050000 0.007400 49563.000000 0.000000
1.050000 0.007400 49563.000000 -0.200000
1.050000 0.007400 49563.000000 0.200000
1.050000 0.007400 49563.000000 -0.400000
1.050000 0.007400 49563.000000 0.400000
1.050000 0.007400 49563.000000 -0.600000
1.050000 -0.007600 10800.000000 0.000000
1.050000 -0.007600 10800.000000 -0.200000
1.050000 -0.007600 10800.000000 0.200000
1.050000 -0.007600 10800.000000 -0.400000
1.050000 -0.007600 10800.000000 0.400000
1.050000 0.007600 49563.000000 0.000000
1.050000 0.007600 49563.000000 -0.200000
1.050000 0.007600 49563.000000 0.200000
1.050000 0.007600 49563.000000 -0.400000
1.050000 0.007600 49563.000000 0.400000
1.050000 0.007600 49563.000000 -0.600000
1.050000 -0.007800 10800.000000 0.000000
1.050000 -0.007800 10800.000000 -0.200000
1.050000 -0.007800 10800.000000 0.200000
1.050000 -0.007800 10800.000000 -0.400000
1.050000 -0.007800 10800.000000 0.400000
1.050000 0.007800 49563.000000 0.000000
1.050000 0.007800 49563.000000 -0.200000
1.050000 0.007800 49563.000000 0.200000
1.050000 0.007800 49563.000000 -0.400000
1.050000 0.007800 49563.000000 0.400000
1.050000 0.007800 49563.000000 -0.600000
1.050000 -0.008000 10800.000000 0.000000
1.050000 -0.008000 10800.000000 -0.200000
1.050000 -0.008000 10800.000000 0.200000
1.050000 -0.008000 10800.000000 -0.400000
1.050000 -0.008000 10800.000000 0.400000
1.050000 0.008000 10877.000000 0.000000
1.050000 0.008000 10877.000000 -0.200000
1.050000 0.008000 10877.000000 0.200000
1.050000 0.008000 10877.000000 -0.400000
1.050000 0.008000 10877.000000 0.400000
1.050000 0.008000 10877.000000 0.600000
1.050000 -0.008000 5109 0.000000
1.050000 -0.008000 5109 -0.400000
1.050000 -0.008000 5109 0.400000
1.050000 0.008000 5130 0.000000
1.050000 0.008000 5130 -0.400000
1.050000 0.008000 5130 0.400000
1.050000 0.008200 10877.000000 0.000000
1.050000 0.008200 10877.000000 -0.200000
1.050000 0.008200 10877.000000 0.200000
1.050000 0.008200 10877.000000 -0.400000
1.050000 0.008200 10877.000000 0.400000
1.050000 0.008200 10877.000000 0.600000
1.050000 -0.008200 2760.000000 0.000000
1.050000 -0.008200 2760.000000 -0.200000
1.050000 -0.008200 2760.000000 0.200000
1.050000 -0.008200 2760.000000 0.400000
1.050000 -0.008200 2760.000000 0.600000
1.050000 0.008400 10877.000000 0.000000
1.050000 0.008400 10877.000000 -0.200000
1.050000 0.008400 10877.000000 0.200000
1.050000 0.008400 10877.000000 -0.400000
1.050000 0.008400 10877.000000 0.400000
1.050000 0.008400 10877.000000 0.600000
1.050000 -0.008400 2760.000000 0.000000
1.050000 -0.008400 2760.000000 -0.200000
1.050000 -0.008400 2760.000000 0.200000
1.050000 -0.008400 2760.000000 0.400000
1.050000 -0.008400 2760.000000 0.600000
1.050000 0.008600 10877.000000 0.000000
1.050000 0.008600 10877.000000 -0.200000
1.050000 0.008600 10877.000000 0.200000
