L_true,dpa,L_meas
13.0,0.49762726,18.233579635620117
13.0,1.551117,18.29201316833496
13.0,2.070198,28.40666389465332
13.0,15.705154,14.797673225402832
13.0,14.093636,18.127763748168945
13.0,3.3437805,18.99381446838379
13.0,3.46521,14.757208824157715
13.0,7.434723,15.385221481323242
13.0,15.285721,15.044584274291992
13.0,7.9384537,15.093262672424316
13.0,0.3965454,17.038393020629883
13.0,4.0642014,16.29258918762207
17.0,0.510376,22.017118453979492
17.0,0.9636688,25.520980834960938
17.0,29.597641,13.27061653137207
17.0,2.0665817,21.249692916870117
17.0,4.578308,21.253379821777344
17.0,2.4683914,23.235191345214844
17.0,1.8911972,14.190422058105469
17.0,1.1639404,20.383358001708984
17.0,9.945183,25.557662963867188
22.0,0.34498596,26.022249221801758
22.0,1.8679199,26.360198974609375
22.0,19.9758,31.830780029296875
22.0,1.1745605,30.624765396118164
22.0,1.1961441,30.627052307128906
22.0,10.002762,18.40662956237793
22.0,1.2658997,28.04878807067871
22.0,12.03038,30.902456283569336
22.0,19.296387,17.331682205200195
22.0,0.44705963,21.852943420410156
22.0,0.75190735,31.890565872192383
30.0,0.38549805,33.96052551269531
30.0,0.62999725,29.17935562133789
30.0,45.49524,42.61520004272461
30.0,1.6720505,43.805870056152344
30.0,0.9857483,28.758270263671875
30.0,0.40625763,34.54396057128906
30.0,1.8476105,35.89030838012695
30.0,1.4523621,40.0820198059082
30.0,2.9026566,42.860626220703125
30.0,14.460541,17.030248641967773
6.0,15.769287,13.98788833618164
6.0,11.779488,12.083637237548828
6.0,13.5145035,13.364620208740234
6.0,7.1524277,12.06223201751709
6.0,14.354919,12.049116134643555
6.0,32.572548,10.068904876708984
6.0,29.122635,11.371538162231445
6.0,34.960938,12.156659126281738
6.0,8.931549,11.205738067626953
6.0,49.738922,11.02889633178711
6.0,10.683067,11.973567962646484
6.0,62.4814,10.363961219787598
8.0,8.082443,12.594367980957031
8.0,8.635132,12.943933486938477
8.0,12.776154,12.062244415283203
8.0,19.069077,13.038686752319336
8.0,8.428642,18.301631927490234
8.0,1.0983734,12.868959426879883
8.0,7.7397842,12.541535377502441
8.0,9.230469,13.382187843322754
8.0,4.0942383,13.215374946594238
8.0,3.5677032,14.295557022094727
8.0,20.16658,12.237521171569824
8.0,4.005951,11.809844017028809
10.0,34.171402,19.931974411010742
10.0,0.3267746,18.017578125
10.0,5.045059,17.414627075195312
10.0,8.612854,11.348821640014648
10.0,5.1802216,15.661843299865723
10.0,1.4663696,13.013388633728027
10.0,6.018242,23.60395622253418
10.0,49.323395,11.251631736755371
10.0,10.386734,12.223336219787598
10.0,1.0274811,15.338019371032715
10.0,3.081932,15.347692489624023
13.0,0.075042725,20.63986587524414
13.0,12.18631,16.794239044189453
13.0,2.3488312,20.276323318481445
13.0,10.287704,15.38786792755127
13.0,6.9387817,17.442319869995117
13.0,12.441391,18.40046501159668
13.0,11.328583,21.459930419921875
13.0,10.216713,13.478732109069824
13.0,9.099243,13.842974662780762
13.0,0.85059357,19.043994903564453
13.0,0.9264679,15.173758506774902
13.0,12.498459,28.981849670410156
17.0,0.9342804,26.152254104614258
17.0,10.7789,27.769136428833008
17.0,6.223091,15.302655220031738
17.0,4.27829,20.6982421875
17.0,3.4338684,24.950010299682617
17.0,4.184067,20.262611389160156
17.0,5.9523163,17.572494506835938
17.0,3.9435577,16.3348388671875
17.0,2.484047,18.142053604125977
17.0,5.181137,26.752973556518555
17.0,4.7524796,22.327192306518555
22.0,0.49769592,30.32201385498047
22.0,0.08409119,22.361827850341797
22.0,0.16119385,29.071544647216797
22.0,6.303314,28.109830856323242
22.0,5.590317,31.068744659423828
22.0,0.13599396,30.30356216430664
22.0,21.808807,20.227102279663086
22.0,3.7958832,29.37503433227539
22.0,1.9622955,24.583127975463867
22.0,2.7801971,25.062007904052734
22.0,1.7639465,19.131290435791016
22.0,0.4421463,31.268709182739258
30.0,0.9028168,35.302757263183594
30.0,3.392105,35.14472961425781
30.0,15.953766,32.699851989746094
30.0,4.0681305,36.77490997314453
30.0,1.006958,40.386383056640625
30.0,70.13132,19.112667083740234
30.0,0.27147675,25.814228057861328
30.0,2.132248,35.8984489440918
30.0,2.3782349,30.213117599487305
6.0,26.983368,11.615407943725586
6.0,25.604034,11.261384010314941
6.0,12.0703125,12.054848670959473
6.0,1.361351,10.35142993927002
6.0,9.890762,10.423983573913574
6.0,26.27629,11.252945899963379
6.0,24.78276,11.615768432617188
6.0,87.440254,16.64319610595703
6.0,41.77722,12.57503890991211
6.0,17.796074,12.932934761047363
6.0,21.550812,12.058120727539062
6.0,16.27813,13.433858871459961
8.0,9.144745,11.780478477478027
8.0,65.99927,11.181272506713867
8.0,14.22345,16.040164947509766
